0,0
1,3
2,2
3,3
4,3
5,1
6,3
7,3
8,1
9,3
10,3
11,2
12,1
13,0
14,2
15,0
16,2
17,3
18,3
19,3
20,3
21,3
22,3
23,1
24,3
25,3
26,3
27,3
28,3
29,3
30,2
31,3
32,3
33,1
34,2
35,1
36,1
37,3
38,1
39,3
40,1
41,1
42,3
43,2
44,3
45,2
46,1
47,3
48,3
49,2
50,1
51,1
52,1
53,3
54,3
55,1
56,1
57,3
58,0
59,3
60,3
61,3
62,3
63,1
64,0
65,3
66,3
67,3
68,3
69,3
70,1
71,3
72,1
73,3
74,2
75,3
76,1
77,1
78,3
79,0
80,3
81,2
82,0
83,0
84,0
85,1
86,0
87,3
88,3
89,3
90,1
91,3
92,3
93,0
94,0
95,2
96,0
97,1
98,3
99,3
100,3
101,3
102,3
103,3
104,1
105,3
106,1
107,3
108,2
109,2
110,3
111,0
112,0
113,0
114,0
115,2
116,2
117,1
118,0
119,2
120,1
121,0
122,3
123,3
124,1
125,0
126,3
127,1
128,1
129,2
130,3
131,3
132,0
133,0
134,3
135,2
136,1
137,3
138,3
139,2
140,1
141,3
142,2
143,0
144,3
145,2
146,0
147,3
148,0
149,3
150,2
151,1
152,3
153,3
154,0
155,3
156,1
157,2
158,0
159,2
160,2
161,3
162,3
163,0
164,3
165,2
166,2
167,0
168,0
169,1
170,3
171,2
172,1
173,0
174,0
175,3
176,3
177,3
178,3
179,1
180,3
181,3
182,3
183,1
184,1
185,1
186,1
187,0
188,1
189,3
190,0
191,3
192,3
193,1
194,0
195,1
196,3
197,3
198,3
199,0
200,2
201,2
202,2
203,0
204,3
205,1
206,1
207,3
208,0
209,3
210,1
211,3
212,1
213,1
214,3
215,2
216,0
217,1
218,3
219,2
220,1
221,0
222,2
223,1
224,3
225,3
226,1
227,1
228,3
229,1
230,0
231,0
232,1
233,3
234,0
235,1
236,1
237,0
238,3
239,1
240,3
241,3
242,3
243,1
244,3
245,3
246,2
247,2
248,1
249,3
250,1
251,3
252,3
253,0
254,0
255,1
256,0
257,3
258,2
259,3
260,0
261,0
262,3
263,3
264,3
265,3
266,1
267,0
268,0
269,1
270,1
271,1
272,3
273,0
274,2
275,2
276,3
277,0
278,3
279,3
280,3
281,0
282,3
283,2
284,1
285,1
286,1
287,1
288,3
289,3
290,2
291,1
292,2
293,1
294,3
295,0
296,3
297,0
298,1
299,2
300,2
301,2
302,3
303,1
304,1
305,0
306,3
307,1
308,1
309,2
310,3
311,3
312,1
313,3
314,3
315,3
316,1
317,3
318,2
319,0
320,3
321,1
322,1
323,3
324,0
325,1
326,2
327,0
328,3
329,0
